Division,Round,Instance,MatchNum,Field,Red1,Red2,Red3,Blue1,Blue2,Blue3,RedScore,BlueScore,RedSit,BlueSit,Scored,Winner,TimeScheduled
1,2,1,1,Main Field,2,,,6,,,0,0,,,False,None,2017-09-25 09:00:00
1,2,1,2,Main Field,2901A,,,11,,,0,0,,,False,None,2017-09-25 09:06:00
1,2,1,3,Main Field,9,,,5,,,0,0,,,False,None,2017-09-25 09:12:00
1,2,1,4,Main Field,8,,,4,,,0,0,,,False,None,2017-09-25 09:18:00
1,2,1,5,Main Field,12,,,7,,,0,0,,,False,None,2017-09-25 09:24:00
1,2,1,6,Main Field,10,,,3,,,0,0,,,False,None,2017-09-25 09:30:00
1,2,1,7,Main Field,11,,,6,,,0,0,,,False,None,2017-09-25 09:36:00
1,2,1,8,Main Field,4,,,2901A,,,0,0,,,False,None,2017-09-25 09:42:00
1,2,1,9,Main Field,5,,,2,,,0,0,,,False,None,2017-09-25 09:48:00
1,2,1,10,Main Field,9,,,10,,,0,0,,,False,None,2017-09-25 09:54:00
1,2,1,11,Main Field,3,,,7,,,0,0,,,False,None,2017-09-25 13:30:00
1,2,1,12,Main Field,12,,,8,,,0,0,,,False,None,2017-09-25 13:35:15
1,2,1,13,Main Field,11,,,4,,,0,0,,,False,None,2017-09-25 13:40:30
1,2,1,14,Main Field,2,,,9,,,0,0,,,False,None,2017-09-25 13:45:45
1,2,1,15,Main Field,7,,,6,,,0,0,,,False,None,2017-09-25 13:51:00
1,2,1,16,Main Field,2901A,,,3,,,0,0,,,False,None,2017-09-25 13:56:15
1,2,1,17,Main Field,5,,,12,,,0,0,,,False,None,2017-09-25 14:01:30
1,2,1,18,Main Field,8,,,10,,,0,0,,,False,None,2017-09-25 14:06:45
